Project Name,GitHub URL,Project URL,Code Quality Score,Blockchain Integration
Canvassing,https://github.com/andrewkimjoseph/canvassing-participant,,6.5,Yes
CeloMind,https://github.com/0xOucan/celo-mind-dn,,7.0,Yes
CrossPay,https://github.com/aliveevie/cross-pay,,6.5,Yes
Darvs,https://github.com/SergioFinix/DARVS_CELO,,7.0,Yes
EventChain,https://github.com/Chigozie0706/eventchain,,6.5,Yes
ClixpesaMint,https://github.com/clixpesa/mint-contracts,,6.5,Yes
Esusu,https://github.com/emiridbest/esusu,,6.5,Yes
FreelaCelo,https://github.com/blockend-dev/FreelaCelo,,6.5,Yes
Intel,https://github.com/jeffIshmael/Intel,,6.5,Yes
jazmeen,https://github.com/gabrieltemtsen/jazmeen,,6.0,Yes
Mobarter,https://github.com/philix27/mobarter-2025,,6.0,Yes
MovieMeter,https://github.com/GideonNut/Moviemeter,,6.0,Yes
RevenuID,https://github.com/eben619/kyc-harmony-checker,,7.0,Yes
Simplifi,https://github.com/bobeu/simplifinance_bot_miniapp,,6.0,Yes
Sovereign Seas,https://github.com/Olisehgenesis/sovereign-seas,,6.5,Yes
Superflow,https://github.com/distroinfinity/superflow,,6.0,Yes
SubPay,https://github.com/Kanasjnr/Subpay,,7.0,Yes
Sweetspot.wtf,https://github.com/HandProtocol/SweetSpot,,7.5,Yes
Taxify/ Tranzit,https://github.com/Argusham/TaxiZip,,7.5,Yes
3-wheeler-bike-club-attester-whitelist-hook-contract,https://github.com/3-Wheeler-Bike-Club/3-wheeler-bike-club-attester-whitelist-hook-contract,,7.5,No
3-wheeler-bike-club-team-app,https://github.com/3-Wheeler-Bike-Club/3-wheeler-bike-club-team-app,,6.0,Yes
3-wheeler-bike-club-landing,https://github.com/3-Wheeler-Bike-Club/3-wheeler-bike-club-landing,,7.5,No
3-wheeler-bike-club-members-app-pwa ,https://github.com/3-Wheeler-Bike-Club/3-wheeler-bike-club-members-app-pwa,,7.5,Yes
3-wheeler-bike-club-invoice-distro,https://github.com/3-Wheeler-Bike-Club/3-wheeler-bike-club-invoice-distro,,6.5,Yes
3-wheeler-bike-club-fleet-app,https://github.com/3-Wheeler-Bike-Club/3-wheeler-bike-club-fleet-app,,6.5,Yes
